employee_id,department,location,salary,performance_score,hire_date
EMP0000,Operations,Tokyo,149000.0,1.1,2023-01-02
EMP0001,Operations,Tokyo,79000.0,1.7,2020-09-11
EMP0002,Sales,Tokyo,56000.0,3.0,2017-11-29
EMP0003,Engineering,New York,84000.0,2.5,2023-05-23
EMP0004,Operations,Tokyo,90000.0,1.3,2017-09-11
EMP0005,Operations,London,31000.0,1.8,2020-12-19
EMP0006,Operations,San Francisco,89000.0,4.6,2017-07-16
EMP0007,Marketing,Sydney,77000.0,2.8,2017-01-18
EMP0008,Operations,Tokyo,99000.0,3.7,2020-12-14
EMP0009,Operations,San Francisco,63000.0,1.7,2021-05-07
EMP0010,Marketing,Sydney,90000.0,4.2,2017-06-23
EMP0011,Sales,New York,96000.0,2.4,2018-05-22
EMP0012,Marketing,Tokyo,77000.0,4.9,2017-01-31
EMP0013,Marketing,San Francisco,97000.0,3.7,2017-06-04
EMP0014,Sales,London,35000.0,3.0,2016-10-26
EMP0015,Operations,San Francisco,94000.0,4.9,2024-01-31
EMP0016,Operations,London,72000.0,3.3,2018-06-15
EMP0017,Marketing,Sydney,64000.0,3.1,2020-06-17
EMP0018,Marketing,London,70000.0,1.6,2018-05-19
EMP0019,Sales,Tokyo,61000.0,2.8,2017-08-20
EMP0020,Engineering,San Francisco,62000.0,1.7,2017-07-26
EMP0021,Marketing,London,97000.0,3.3,2025-03-21
EMP0022,Operations,San Francisco,69000.0,4.4,2018-12-31
EMP0023,Operations,London,65000.0,4.2,2023-11-29
EMP0024,Operations,San Francisco,88000.0,3.5,2023-07-06
EMP0025,Engineering,Tokyo,84000.0,1.9,2020-02-12
EMP0026,Operations,New York,90000.0,2.4,2025-04-03
EMP0027,Marketing,San Francisco,78000.0,3.6,2016-12-04
EMP0028,Finance,Tokyo,88000.0,2.5,2018-08-15
EMP0029,Sales,New York,43000.0,2.0,2018-03-04
EMP0030,Marketing,Sydney,94000.0,5.0,2016-07-20
EMP0031,Engineering,Sydney,78000.0,2.8,2023-02-11
EMP0032,Finance,Sydney,45000.0,2.8,2016-09-26
EMP0033,Engineering,Sydney,56000.0,2.5,2024-10-29
EMP0034,Finance,Sydney,71000.0,3.7,2017-03-10
EMP0035,Engineering,London,82000.0,1.5,2021-12-29
EMP0036,Finance,Tokyo,105000.0,1.5,2016-10-22
EMP0037,Marketing,Tokyo,82000.0,3.9,2019-11-05
EMP0038,Engineering,San Francisco,52000.0,4.3,2022-08-23
EMP0039,Operations,Tokyo,86000.0,3.4,2024-04-25
EMP0040,Finance,San Francisco,76000.0,3.3,2023-12-31
EMP0041,Finance,San Francisco,88000.0,4.6,2025-03-23
EMP0042,Engineering,San Francisco,73000.0,3.1,2022-03-16
EMP0043,Sales,New York,62000.0,3.6,2016-01-28
EMP0044,Engineering,San Francisco,81000.0,3.4,2021-06-25
EMP0045,Engineering,Tokyo,94000.0,2.8,2018-01-22
EMP0046,Finance,Sydney,65000.0,4.2,2023-12-09
EMP0047,Sales,Tokyo,40000.0,2.5,2025-03-17
EMP0048,Marketing,Tokyo,70000.0,4.0,2024-01-06
EMP0049,Finance,New York,48000.0,3.2,2017-07-13
EMP0050,Engineering,Tokyo,52000.0,3.8,2017-11-17
EMP0051,Finance,New York,86000.0,4.5,2017-11-18
EMP0052,Sales,New York,71000.0,2.6,2016-06-02
EMP0053,Operations,Sydney,111000.0,4.4,2016-04-20
EMP0054,Finance,Tokyo,56000.0,1.2,2024-10-22
EMP0055,Engineering,San Francisco,56000.0,2.1,2015-11-09
EMP0056,Operations,New York,39000.0,2.0,2019-07-01
EMP0057,Engineering,London,110000.0,3.9,2017-05-06
EMP0058,Sales,London,84000.0,2.9,2017-05-13
EMP0059,Operations,New York,109000.0,3.6,2020-09-28
EMP0060,Engineering,New York,82000.0,3.2,2020-08-28
EMP0061,Finance,New York,50000.0,4.6,2019-05-26
EMP0062,Marketing,San Francisco,107000.0,3.3,2019-04-04
EMP0063,Sales,Tokyo,70000.0,2.2,2021-11-08
EMP0064,Sales,Sydney,94000.0,3.8,2021-05-09
EMP0065,Finance,Tokyo,96000.0,4.7,2021-03-07
EMP0066,Operations,London,88000.0,4.3,2025-06-29
EMP0067,Sales,San Francisco,101000.0,3.4,2022-04-28
EMP0068,Operations,San Francisco,39000.0,3.2,2018-08-07
EMP0069,Engineering,Sydney,91000.0,4.5,2024-07-29
EMP0070,Marketing,Tokyo,69000.0,1.9,2021-10-29
EMP0071,Finance,Tokyo,74000.0,3.0,2018-02-09
EMP0072,Marketing,Tokyo,51000.0,4.3,2022-02-10
EMP0073,Sales,London,91000.0,1.8,2023-12-10
EMP0074,Operations,London,90000.0,3.7,2024-04-12
EMP0075,Marketing,London,36000.0,1.8,2022-08-08
EMP0076,Engineering,San Francisco,95000.0,1.6,2017-06-26
EMP0077,Marketing,San Francisco,71000.0,3.9,2023-12-16
EMP0078,Operations,New York,55000.0,4.0,2017-12-19
EMP0079,Sales,New York,31000.0,1.8,2022-01-19
EMP0080,Operations,San Francisco,66000.0,2.9,2015-09-20
EMP0081,Operations,Sydney,98000.0,2.7,2020-01-03
EMP0082,Finance,New York,57000.0,4.9,2016-08-04
EMP0083,Finance,San Francisco,112000.0,2.4,2023-05-23
EMP0084,Finance,New York,97000.0,2.1,2025-06-06
EMP0085,Marketing,Sydney,37000.0,2.0,2020-12-04
EMP0086,Sales,Sydney,118000.0,2.9,2024-02-18
EMP0087,Engineering,Tokyo,96000.0,2.4,2022-03-06
EMP0088,Sales,Sydney,99000.0,4.0,2024-03-22
EMP0089,Engineering,London,79000.0,2.3,2020-08-18
EMP0090,Marketing,San Francisco,108000.0,4.8,2021-01-03
EMP0091,Engineering,London,67000.0,4.4,2016-11-06
EMP0092,Sales,Tokyo,95000.0,4.3,2017-11-30
EMP0093,Marketing,Tokyo,70000.0,2.8,2016-05-09
EMP0094,Sales,New York,48000.0,3.0,2020-11-13
EMP0095,Engineering,Sydney,76000.0,3.8,2023-01-14
EMP0096,Sales,Tokyo,124000.0,4.0,2022-11-23
EMP0097,Engineering,London,80000.0,1.1,2016-01-24
EMP0098,Finance,London,67000.0,2.2,2022-02-23
EMP0099,Operations,San Francisco,68000.0,2.3,2025-06-24
EMP0100,Sales,San Francisco,87000.0,2.1,2020-02-18
EMP0101,Engineering,San Francisco,72000.0,1.3,2021-04-12
EMP0102,Sales,London,54000.0,4.3,2015-11-02
EMP0103,Marketing,London,73000.0,4.2,2023-10-08
EMP0104,Marketing,Tokyo,74000.0,2.6,2024-01-21
EMP0105,Engineering,New York,78000.0,3.6,2021-05-16
EMP0106,Operations,London,60000.0,2.3,2025-07-18
EMP0107,Operations,New York,67000.0,2.2,2020-02-09
EMP0108,Sales,San Francisco,100000.0,1.7,2016-09-12
EMP0109,Operations,Tokyo,72000.0,3.4,2017-06-13
EMP0110,Marketing,Tokyo,60000.0,2.1,2017-01-31
EMP0111,Engineering,New York,109000.0,4.5,2022-05-10
EMP0112,Engineering,New York,65000.0,2.4,2018-08-07
EMP0113,Marketing,London,89000.0,3.1,2022-11-25
EMP0114,Operations,San Francisco,75000.0,4.2,2020-05-22
EMP0115,Finance,New York,62000.0,3.5,2021-04-16
EMP0116,Finance,Tokyo,57000.0,4.5,2025-03-27
EMP0117,Marketing,Tokyo,66000.0,3.7,2022-10-07
EMP0118,Sales,New York,58000.0,3.2,2019-12-11
EMP0119,Marketing,London,68000.0,2.9,2022-03-03
EMP0120,Engineering,Sydney,86000.0,4.6,2025-06-02
EMP0121,Sales,Tokyo,73000.0,4.0,2021-07-07
EMP0122,Finance,San Francisco,58000.0,2.2,2020-02-22
EMP0123,Engineering,San Francisco,83000.0,3.8,2025-07-03
EMP0124,Marketing,Tokyo,67000.0,3.0,2022-06-26
EMP0125,Sales,London,102000.0,2.8,2022-03-28
EMP0126,Sales,San Francisco,52000.0,3.1,2019-05-29
EMP0127,Operations,Sydney,80000.0,1.8,2023-03-10
EMP0128,Marketing,Tokyo,91000.0,4.6,2021-01-22
EMP0129,Finance,San Francisco,64000.0,3.5,2022-07-29
EMP0130,Operations,New York,85000.0,2.7,2025-05-25
EMP0131,Engineering,London,57000.0,4.8,2018-03-02
EMP0132,Sales,London,56000.0,3.8,2021-07-12
EMP0133,Sales,New York,89000.0,1.0,2022-06-03
EMP0134,Operations,Sydney,74000.0,4.2,2025-01-28
EMP0135,Marketing,Tokyo,37000.0,1.0,2018-12-18
EMP0136,Operations,Sydney,79000.0,3.7,2019-01-26
EMP0137,Sales,London,112000.0,1.3,2016-09-20
